customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9317-WZPGV,Female,True,False,False,2,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Bank transfer (automatic),79.75,159.4,True
8947-YRTDV,Male,False,True,True,32,True,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,False,Mailed check,94.8,3131.55,False
1814-DKOLC,Female,False,False,False,5,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,25.45,134.75,False
8071-SBTRN,Female,False,False,False,70,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,True,Mailed check,111.15,7737.55,False
4701-MLJPN,Male,False,False,False,31,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,True,Electronic check,55.25,1715.65,True
1205-WNWPJ,Female,False,False,False,7,True,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,True,Mailed check,59.5,415.95,True
6158-HDPXZ,Male,False,False,False,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,25.35,25.35,False
6683-VLCTZ,Male,True,False,False,20,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.55,1842.8,True
3727-OWVYD,Male,False,False,False,35,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,False,Mailed check,61.2,2021.2,False
0856-NAOES,Male,False,False,False,6,True,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,False,Mailed check,60.9,414.1,False
0562-FGDCR,Female,False,True,True,72,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,False,Mailed check,74.55,5430.65,False
0956-SYCWG,Female,False,False,False,13,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,19.65,244.8,False
2277-VWCNI,Female,True,False,False,4,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,48.75,179.85,False
3498-LZGQZ,Male,False,True,True,63,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.15,1177.05,False
9135-MGVPY,Male,False,True,False,69,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.7,5878.9,False
3815-SLMEF,Female,False,False,False,3,False,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,False,Mailed check,34.25,139.35,True
4513-CXYIX,Female,True,True,False,71,True,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,True,Credit card (automatic),80.7,5676.0,False
8944-AILEF,Male,False,True,False,15,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Credit card (automatic),19.45,340.85,False
1270-XKUCC,Female,False,True,True,30,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.7,599.25,False
6633-SYEUS,Female,False,False,False,23,True,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,False,Bank transfer (automatic),83.2,2032.3,False
8075-GXIUB,Male,True,True,False,9,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),19.85,183.15,False
6016-NXBNJ,Male,False,False,False,35,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,19.15,638.0,False
9332-GYWLO,Female,False,True,True,6,True,No,DSL,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,54.85,355.1,False
3276-HDUEG,Female,False,False,False,1,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,75.05,75.05,True
5884-FBCTL,Female,False,True,True,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.1,1857.85,False
8999-YPYBV,Male,False,True,True,45,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.35,3858.05,False
1522-VVDMG,Male,False,True,True,7,True,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,89.75,608.8,True
0848-SOMKO,Male,False,False,False,70,False,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,False,Bank transfer (automatic),48.4,3442.8,False
1657-DYMBM,Male,False,True,False,53,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.9,1110.05,False
6923-EFPNL,Male,False,False,False,4,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Credit card (automatic),51.75,201.1,True
2167-FQSTQ,Female,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,92.4,6786.1,False
9286-BHDQG,Male,False,True,True,72,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Credit card (automatic),45.25,3139.8,False
7225-CBZPL,Male,True,True,False,17,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,94.8,1563.9,False
5605-IYGFG,Female,False,False,False,7,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),69.85,515.45,False
6861-OKBCE,Female,False,False,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),20.1,221.35,True
7571-YXDAD,Female,False,False,False,2,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Credit card (automatic),74.9,147.15,True
0254-FNMCI,Female,False,False,False,72,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,109.9,7624.2,False
8981-FJGLA,Male,False,False,True,11,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,78.0,851.8,False
8414-MYSHR,Male,True,False,False,5,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,91.4,449.75,True
9274-CNFMO,Male,True,True,False,4,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,74.95,308.7,True
3794-NFNCH,Male,False,True,False,30,True,No,DSL,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,50.0,1474.9,False
5158-RIVOP,Female,False,True,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.9,202.3,False
1100-DDVRV,Male,False,True,False,17,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,True,Mailed check,49.8,836.35,False
9522-BNTHX,Female,True,False,False,34,False,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,56.25,1765.95,False
3677-IYRBF,Female,True,False,False,2,False,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,30.4,78.65,True
7009-PCARS,Male,False,False,True,55,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.1,1001.5,False
8250-ZNGGW,Female,True,False,False,5,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.9,287.85,False
0967-BMLBD,Female,False,True,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,20.0,196.35,False
7594-RQHXR,Female,False,False,True,1,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,79.6,79.6,True
8966-SNIZF,Female,False,True,False,70,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.45,1303.5,False
7235-NXZCP,Male,True,False,False,2,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,74.85,156.4,True
0122-OAHPZ,Female,False,False,False,7,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,73.85,511.25,True
7815-PDTHL,Male,False,False,False,35,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,20.2,684.4,False
8331-ZXFOE,Female,False,False,False,58,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,True,Credit card (automatic),71.1,4299.2,False
8901-UPRHR,Female,False,True,True,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),109.2,7711.45,False
3563-SVYLG,Male,False,True,True,68,True,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,False,Credit card (automatic),62.65,4375.8,False
3205-MXZRA,Male,False,False,False,26,True,No,DSL,No,No,No,Yes,Yes,No,One year,False,Credit card (automatic),59.45,1507.0,False
5392-AKEMH,Female,False,False,False,12,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.05,523.1,False
8201-AAXCB,Male,False,True,True,25,True,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,60.35,1404.65,False
6919-ELBGL,Male,True,True,True,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),114.95,8196.4,False
0530-IJVDB,Male,False,False,True,70,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,114.6,7882.5,False
5047-LHVLY,Male,True,False,True,1,True,No,DSL,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,50.15,50.15,True
8404-FYDIB,Male,False,False,False,26,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),86.65,2208.75,False
3415-TAILE,Female,False,True,True,2,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,65.7,134.35,True
2819-GWENI,Female,False,True,True,28,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.9,543.0,False
6164-HXUGH,Female,False,True,True,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,119.3,False
6762-QVYJO,Female,False,True,True,58,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,False,Mailed check,59.75,3624.35,False
5046-NUHWD,Female,True,True,False,29,False,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,45.0,1228.65,False
0106-GHRQR,Male,False,False,False,16,True,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,False
8374-XGEJJ,Male,True,True,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,101.0,4388.4,True
2546-KZAAT,Male,False,True,False,52,True,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,True,Mailed check,75.4,3865.45,False
7569-NMZYQ,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),118.75,8672.45,False
3279-DYZQM,Male,False,True,True,71,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.45,1378.45,False
0374-FIUCA,Male,False,True,False,65,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),20.4,1414.45,False
3714-NTNFO,Female,False,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.7,False
8705-DWKTI,Male,False,False,False,52,True,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Credit card (automatic),83.8,4331.4,False
4195-SMMNX,Male,False,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,33.2,True
2599-CIPQE,Male,False,True,True,71,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),109.3,7782.85,False
5136-GFPMB,Male,False,False,False,54,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,False,Credit card (automatic),89.4,4869.5,False
6476-YHMGA,Female,False,True,True,15,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,False,Bank transfer (automatic),76.5,1155.6,False
3055-MJDSB,Male,False,False,False,9,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.6,190.1,False
7516-GMHUV,Male,True,True,False,50,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,True,Credit card (automatic),105.05,5163.3,False
5940-NFXKV,Male,False,True,True,19,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,83.65,1465.75,True
3597-YASZG,Female,True,True,False,70,True,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),104.45,7349.35,False
3786-WOVKF,Female,True,True,False,72,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,True,Bank transfer (automatic),106.85,7677.4,False
2806-MLNTI,Male,True,True,False,52,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),105.1,5376.4,False
0799-DDIHE,Female,False,True,True,15,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,46.3,639.45,False
9926-PJHDQ,Female,False,True,True,72,True,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),76.8,5468.45,False
0334-GDDSO,Male,True,False,False,3,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,81.35,233.7,True
2371-KFUOG,Male,False,False,False,58,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,False,Bank transfer (automatic),99.15,5720.95,False
4634-JLRJT,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.35,20.35,False
5886-VLQVU,Male,False,True,False,35,True,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),89.85,3161.2,False
3194-ORPIK,Female,False,True,True,50,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),84.4,4116.15,True
6048-NJXHX,Male,False,True,False,41,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Electronic check,19.75,899.45,False
7860-KSUGX,Male,False,True,True,72,True,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Credit card (automatic),64.45,4720.0,False
2925-MXLSX,Female,False,False,False,30,True,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,True,Credit card (automatic),68.95,2038.7,False
2933-FILNV,Female,False,True,True,2,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.4,36.55,True
7758-XKCBS,Male,False,False,False,15,False,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,True,Electronic check,29.7,438.25,True
2027-DNKIV,Male,False,True,True,37,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,True,Mailed check,58.75,2203.1,False
4751-ERMAN,Male,False,True,True,72,True,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),75.4,5480.25,False
8224-KDLKN,Male,False,True,True,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.0,1738.9,False
7929-SKFGK,Male,False,True,False,70,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),114.3,8244.3,False
8329-IBCTI,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.65,19.65,True
5016-IBERQ,Male,False,True,False,23,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Electronic check,84.25,1968.1,False
5405-ZMYXQ,Female,False,False,False,8,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),74.6,548.9,False
7841-TZDMQ,Male,False,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),46.0,84.5,True
9754-CLVZW,Female,False,True,True,26,False,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),38.85,1025.15,False
9503-XJUME,Male,False,False,True,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),19.65,928.4,False
3298-QEICA,Female,False,True,True,23,False,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,False,Mailed check,34.6,813.45,False
9420-LOJKX,Female,False,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.1,1426.4,True
3391-JSQEW,Male,False,True,False,40,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,50.15,2058.5,False
4939-KYYPY,Male,False,False,False,27,True,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Electronic check,59.45,1611.65,False
2061-VVFST,Female,False,True,False,37,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.5,805.2,False
6480-YAGIY,Male,False,False,False,45,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,False,Credit card (automatic),112.2,5031.85,False
0330-IVZHA,Female,False,True,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,69.95,330.15,True
7161-DFHUF,Female,False,True,False,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,23.85,1672.1,False
1260-TTRXI,Male,False,False,False,4,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,54.3,195.3,True
8577-QSOCG,Female,False,True,True,38,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,20.2,746.05,False
8963-JLGJT,Male,False,False,True,3,True,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,False,Mailed check,55.9,157.55,False
3266-FTKHB,Male,False,False,False,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.15,343.45,False
6122-LJADA,Male,False,True,True,70,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),90.15,6237.05,False
8710-YGLWG,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,44.9,44.9,False
6463-HHXJR,Female,False,True,True,71,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,False,Bank transfer (automatic),100.5,7030.65,False
9576-SYUHJ,Male,False,False,False,37,True,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,True,Electronic check,91.15,3369.25,False
9289-LBQVU,Male,False,True,False,64,True,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,True,Mailed check,70.15,4480.7,False
2207-QPJED,Female,True,True,False,37,True,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,False,Electronic check,90.0,3371.75,False
